Brand	Product	Category	Price	Unit	Size	Unit Price	Sale/Promo
Alderfer Eggs	Cage-Free Grade A Large White Eggs, Dozen	Eggs	$3.79	ea	1 dozen	$0.32/ct	
Alderfer Eggs	Cage-Free Grade A Large Brown Eggs, Dozen	Eggs	$3.79	ea	1 dozen	$0.32/ct	
Just FreshDirect	Local Organic Large Brown Eggs, Dozen	Eggs	$4.79	ea	1 dozen	$0.40/ct	
Just FreshDirect	Local Organic Extra Large Brown Eggs, Dozen	Eggs	$5.49	ea	1 dozen	$0.46/ct	
Just FreshDirect	Organic Cage-Free Pasture-Raised Grade A Large Eggs, Dozen	Eggs	$6.49	ea	1 dozen	$0.54/ct	
Vital Farms	Pasture-Raised Organic Large Eggs, Dozen	Eggs	$11.99	ea	1 dozen	$1.00/ct	
Just FreshDirect	Local Organic Whole Milk, Carton	Milk	$4.89	ea	1/2 gallon	$0.08/fl oz	
Just FreshDirect	Local Organic 2% Reduced Fat Milk, Carton	Milk	$4.89	ea	1/2 gallon	$0.08/fl oz	
Just FreshDirect	Whole Milk, Plastic Bottle	Milk	$2.99	ea	1/2 gallon	$0.05/fl oz	
Organic Valley	Ultra-Pasteurized Whole Milk, Carton	Milk	$5.99	ea	1/2 gallon	$0.09/fl oz	Save 20% - Any 2 for $9.50
Fage	TOTAL 0% Greek Yogurt, Plain	Yogurt	$7.59	ea	32oz	$0.24/oz	
Fage	TOTAL 2% Greek Yogurt, Plain	Yogurt	$7.59	ea	32oz	$0.24/oz	
Chobani	Non-Fat Greek Yogurt, Plain (Single)	Yogurt	$1.49	ea	5.3oz	$0.28/oz	
Chobani	Non-Fat Greek Yogurt, Plain	Yogurt	$6.59	ea	32oz	$0.21/oz	
Kerrygold	Salted Pure Irish Butter	Butter	$5.59	ea	8oz	$0.70/oz	
Kerrygold	Unsalted Pure Irish Butter	Butter	$5.59	ea	8oz	$0.70/oz	
Cabot	Sweet Cream Butter, Salted	Butter	$7.99	ea	4ct, 1lb	$0.50/oz	
Land O'Lakes	Unsalted Butter	Butter	$7.49	ea	4ct, 1lb	$0.47/oz	
Organic Valley	Organic Unsalted Butter	Butter	$10.79	ea	4ct, 1lb	$0.67/oz	
Philadelphia	Cream Cheese Spread, Original	Packaged Cheese	$5.59	ea	8oz	$0.70/oz	
Organic Valley	Mozzarella Stringles	Packaged Cheese	$6.89	ea	8ct, 1oz ea	$0.86/oz	Save 11% (was $7.79)
Breakstone's	Sour Cream (16oz)	Sour Cream	$4.49	ea	16oz	$0.28/oz	
Organic Valley	Sour Cream	Sour Cream	$4.09	ea	16oz	$0.26/oz	Save 18% (was $4.99)
