Brand	Product	Category	Price	Unit	Size	Unit Price	Sale/Promo
FreshDirect	Steamed Jasmine Rice	Prepared Rice	$5.49	ea	12oz	$0.46/oz	
FreshDirect	Crispy Spinach Coconut Rice with Garlic Butter	Prepared Rice	$9.19	ea	11.8oz	$0.78/oz	
FreshDirect	Steamed Brown Rice	Prepared Rice	$5.49	ea	12oz	$0.46/oz	
FreshDirect	Black Beans and Rice with Salsa Verde	Prepared Rice	$7.49	ea	12.2oz	$0.61/oz	
Lundberg	Organic White Long Grain Rice	Dry Rice	$9.49	ea	2lb	$0.30/oz	
Lundberg	California White Basmati Rice	Dry Rice	$9.49	ea	2lb	$0.30/oz	
Lundberg	Organic California White Basmati Rice	Dry Rice	$11.49	ea	2lb	$0.36/oz	
Lundberg	Organic California Sushi Rice	Dry Rice	$11.99	ea	2lb	$0.37/oz	
Lundberg	Organic California Brown Basmati Rice	Dry Rice	$11.99	ea	2lb	$0.37/oz	
Lundberg	Organic Short Grain Brown Rice	Dry Rice	$9.49	ea	2lb	$0.30/oz	
Lundberg	Organic Long Grain Brown Rice	Dry Rice	$9.49	ea	2lb	$0.30/oz	
Lundberg	Wild Rice Blend	Dry Rice	$8.49	ea	1lb	$0.53/oz	
Lundberg	Organic White Jasmine Rice	Dry Rice	$4.99	ea	8oz	$0.62/oz	
Lundberg	Organic Brown Jasmine Rice	Dry Rice	$4.99	ea	8oz	$0.62/oz	
Lundberg	Organic Cilantro Lime Rice	Dry Rice	$4.99	ea	8oz	$0.62/oz	
Lundberg	Organic Coconut Rice	Dry Rice	$4.99	ea	8oz	$0.62/oz	
Lundberg	White Arborio Rice	Dry Rice	$11.49	ea	2lb	$0.36/oz	
Lundberg	California White Jasmine Rice	Dry Rice	$9.49	ea	2lb	$0.30/oz	
Lundberg	Organic Wild Rice	Dry Rice	$11.49	ea	8oz	$1.44/oz	
Nishiki	Premium Medium-Grain Sushi Rice	Dry Rice	$13.99	ea	5lb	$0.17/oz	
Dynasty	Jasmine Rice	Dry Rice	$11.49	ea	5lb	$0.14/oz	
Dynasty	Jasmine Brown Rice	Dry Rice	$6.49	ea	32oz	$0.20/oz	
Carolina	Extra Long Grain White Rice (2lb)	Dry Rice	$4.49	ea	2lb	$0.14/oz	
Carolina	Extra Long Grain White Rice (5lb)	Dry Rice	$7.49	ea	5lb	$0.09/oz	
Carolina	Extra Long Grain White Rice (10lb)	Dry Rice	$11.49	ea	10lb	$0.07/oz	
Carolina	Extra Long Grain White Rice (20lb)	Dry Rice	$14.99	ea	20lb	$0.05/oz	
Carolina	Natural Whole Grain Brown Rice	Dry Rice	$7.49	ea	5lb	$0.09/oz	
Rice Select	Jasmati Long Grain American Jasmine Rice	Dry Rice	$7.99	ea	32oz	$0.25/oz	
Rice Select	Texmati Long Grain American Basmati Rice	Dry Rice	$7.49	ea	32oz	$0.23/oz	
Rice Select	Organic Jasmati, White Rice	Dry Rice	$10.99	ea	32oz	$0.34/oz	
Rice Select	Arborio Rice	Dry Rice	$8.99	ea	32oz	$0.28/oz	
Botan	Calrose Musenmai Rice	Dry Rice	$15.99	ea	5lb	$0.20/oz	
Khazana	Basmati Rice	Dry Rice	$5.99	ea	32oz	$0.19/oz	
Goya	Thai Jasmine Rice (5lb)	Dry Rice	$13.99	ea	5lb	$0.17/oz	
Goya	Thai Jasmine Rice (2lb)	Dry Rice	$6.49	ea	2lb	$0.20/oz	
Ben's Original	Ready Rice, Jasmine	Ready Rice	$3.49	ea	8.5oz	$0.41/oz	
Ben's Original	Ready Rice, Basmati	Ready Rice	$3.49	ea	8.5oz	$0.41/oz	
Ben's Original	Ready Rice, Original Long Grain White	Ready Rice	$3.49	ea	8.8oz	$0.40/oz	
Ben's Original	Ready Rice, Whole Grain Brown	Ready Rice	$3.49	ea	8.8oz	$0.40/oz	
