price_id,item_id,ts,price,qty,size,source_file,raw_product_line,brand_name,attributes
251,134,2025-08-11,8.59,1,14 floz Paperboard pint tub with plastic lid,Store 1.txt,"Adirondack Creamery Ice Cream, Kulfi Pistachio Cardamom",Adirondack Creamery ,
249,107,2025-08-11,9.29,1,"59fl oz, Carton",Store 1.txt,"Alexandre A2/A2 Organic 4% Whole Milk, Carton",Alexandre,
351,107,2025-01-31,7.99,1,"59fl oz, Carton",Store 1.txt,"Alexandre A2/A2 Organic 4% Whole Milk, Carton",Alexandre,
200,107,2025-10-14,8.49,1,"59fl oz, Carton",Store 1.txt,"Alexandre A2/A2 Organic 4% Whole Milk, Carton",Alexandre,
220,107,2025-09-17,9.49,1,"59fl oz, Carton",Store 1.txt,"Alexandre A2/A2 Organic 4% Whole Milk, Carton",Alexandre,
372,184,2025-01-24,3.86,, 1.12 lb,Store 1.txt,Altobelli Family Farm Local Delicata Squash,Altobelli Family Farm ,"Local, winter"
333,109,2025-04-21,3.49,1,Bunch bound with plastic twist tie,Store 1.txt,"Baby Bananas, Bunch",Store brand,
384,109,2025-01-18,3.49,1,Bunch bound with plastic twist tie,Store 1.txt,"Baby Bananas, Bunch",Store brand,
366,109,2025-01-24,3.49,1,Bunch bound with plastic twist tie,Store 1.txt,"Baby Bananas, Bunch",Store brand,
204,109,2025-10-14,3.99,1,Bunch bound with plastic twist tie,Store 1.txt,"Baby Bananas, Bunch",Store brand,
406,202,2026-01-10,1.69,1,Bunch,Store 1.txt,Banana Bunch,Store brand,
373,185,2025-01-24,2.96,,"0.99 lb, plastic produce bag",Store 1.txt,Black Dirt Region Red Cippolini Onions,Store brand,
267,136,2025-07-17,18.58,2,"13oz, plastic bag (stand-up resealable)",Store 1.txt,Bob's Red Mill Organic Quinoa,Bob's Red Mill,
258,136,2025-07-30,9.29,1,"13oz, plastic bag (stand-up resealable)",Store 1.txt,Bob's Red Mill Organic Quinoa,Bob's Red Mill,
345,136,2025-04-09,9.19,1,plastic bag (stand-up resealable),Store 1.txt,Bob's Red Mill Organic Quinoa,Bob's Red Mill,
392,136,2025-01-18,8.99,1,plastic bag (stand-up resealable),Store 1.txt,Bob's Red Mill Organic Quinoa,Bob's Red Mill,
371,136,2025-01-24,8.99,1,plastic bag (stand-up resealable),Store 1.txt,Bob's Red Mill Organic Quinoa,Bob's Red Mill,
334,165,2025-04-21,6.29,1,"16fl oz, glass bottle with metal cap",Store 1.txt,Bragg Organic Raw Unfiltered Apple Cider Vinegar,Bragg,
341,168,2025-04-09,6.99,1,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic San Francisco Sourdough,Bread Alone,
240,97,2025-09-11,10.5,2,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"Yeast Free,"
250,97,2025-08-11,11.98,2,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"Yeast Free,"
189,97,2025-11-04,5.99,1,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"Yeast Free,"
201,97,2025-10-14,10.5,2,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"Yeast Free,"
222,97,2025-09-17,11.98,2,"22oz, plastic bag with clip",Store 1.txt,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"Yeast Free,"
385,190,2025-01-18,3.99,1,approx. 2lb,Store 1.txt,Breadfruit,Store brand,"Peak Season Varies, made in USA"
312,158,2025-05-21,7.99,1,"1.25oz, paperboard box + inner plastic trays/wrappers",Store 1.txt,"Bubbies Mochi Ice Cream, Pistachio",Bubbies,
363,179,2025-01-31,10.99,1,"1.9oz, glass jar with metal lid",Store 1.txt,Burlap & Barrel New Harvest Turmeric,Burlap & Barrel,
191,99,2025-11-04,10.99,1,"1.6oz, glass jar with metal lid",Store 1.txt,Burlap & Barrel Wild Mountain Cumin,Burlap & Barrel,
304,142,2025-06-05,3.99,1,Bunch bound with plastic twist tie,Store 1.txt,Cal-Organic Organic Rainbow Carrots,Cal-Organic,
271,142,2025-07-17,4.19,1,Bunch bound with plastic twist tie,Store 1.txt,Cal-Organic Organic Rainbow Carrots,Cal-Organic,
394,197,2025-01-18,3.99,1,Bunch bound with plastic twist tie,Store 1.txt,Cal-Organic Organic Red Carrots,Cal-Organic,
335,166,2025-04-21,3.69,1,"0.9oz, paperboard box with individual paper tea bags (string + tag; no plastic wrap but mostly a polymer dispersion coating on box and tags)",Store 1.txt,Celestial Seasonings Chamomile Herbal Tea,Celestial Seasonings,
272,143,2025-07-17,7.18,2,,Store 1.txt,Chayote Squash,Store brand,maybe farmed in Latin America
374,143,2025-01-24,8.97,3,,Store 1.txt,Chayote Squash,Store brand,maybe farmed in Latin America
320,161,2025-05-13,3.94,,1.58 lb,Store 1.txt,Chinese Eggplant,Store brand,made in USA
395,161,2025-01-18,4.59,,2.3 lb,Store 1.txt,Chinese Eggplant,Store brand,made in USA
192,100,2025-11-04,7.99,1,approx. 1lb,Store 1.txt,Chinese Long Beans,Store brand,made in USA
375,100,2025-01-24,6.99,1,approx. 1lb,Store 1.txt,Chinese Long Beans,Store brand,made in USA
326,162,2025-04-28,8.49,1,glass bottle with metal cap,Store 1.txt,De Nigris Organic White Wine Vinegar,De Nigris,Italian brand
209,113,2025-10-14,1.99,1,Bunch bound with plastic twist tie,Store 1.txt,Deer Run Farms Local Bunched Spinach,Deer Run Farms,Local
386,191,2025-01-18,9.99,1,"6oz, plastic clamshell containers",Store 1.txt,Driscoll's Limited Edition Sweetest Batch Strawberries,Driscoll's,
