"# NOTE: Recommendations are based on availability. Items marked ""Sold out"" may affect tier selections if they become available."
"# SOLD OUT items documented with ""IF AVAILABLE"" notes indicate potential tier changes when restocked."
category,product_name,brand,price,unit,size,certifications,packaging,nutrition,labels,notes,item_type,seasonality,selected_tier,selection_reason
produce_greens,Baby Spinach Pack 5oz,Satur Farms,$3.99,ea,5oz,None (conventional),Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",User history showed spinach preference,staple,,Conventional not suitable for Dirty Dozen ,
produce_greens,Organic Baby Spinach,Earthbound Farm,$6.99,ea,10oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),"Calories: 31.7/100g, Protein: 2.82g, Carbs: 3.52g, Fat: 0.352g, Fiber: 2.11g",Organic,,staple,,,
produce_greens,Organic Lacinato Kale,Generic,$2.99,ea,0.5lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,"Naturally Gluten-Free, Vegan",,staple,,,
produce_greens,Organic Green Kale,Generic,$2.99,ea,1lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,"Naturally Gluten-Free, Vegan",,staple,,,
produce_greens,Baby Spinach Pack,Satur Farms,$5.99,ea,10oz,None (conventional),Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",,staple,,Conventional not suitable for Dirty Dozen ,
produce_greens,Powerhouse Spinach Blend,organicgirl,$4.99,ea,5oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",,staple,,,
produce_greens,Organic Rainbow Swiss Chard,Generic,$3.49,ea,1lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,,,staple,,,
produce_greens,Supergreens,organicgirl,$4.99,ea,5oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),,,Blend,convenience,,Pre-mixed blend,
produce_greens,Spinach,Ocean Mist Farms,$2.99,ea,10oz,None (conventional),Loose bunch in produce bag + plastic twist-tie,,"Naturally Gluten-Free, Vegan",Cheapest spinach but conventional - not suitable for ,,,,
produce_greens,Chopped Green Curly Kale,Generic,$4.99,ea,8oz,,Plastic bag,,"Naturally Gluten-Free, Vegan",Save 20% - Any 2 for $8.00,convenience,,Pre-chopped,
produce_greens,Organic Collard Greens,Generic,$2.99,ea,0.75lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,,Collards ,,,,
produce_greens,Local Organic Young Arugula,Lancaster Farm Fresh Cooperative,$5.49,ea,5oz,USDA Organic + Local,Clear plastic clamshell (recyclable #1 PET),,,Save 27% - Any 2 for $8.00,staple,,,
produce_greens,Organic Red Kale,Generic,$1.99,ea,1lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,"Naturally Gluten-Free, Vegan",CHEAPEST ORGANIC - $0.12/oz,staple,cheaper,Lowest cost organic that satisfies Dirty Dozen ,
produce_greens,Organic Power Greens,Earthbound Farm,$6.99,ea,10oz,USDA Organic,Loose bunch in produce bag + plastic twist-tie,"Calories: 4.1176470588235/100g, Protein: 2.3529411764706g, Carbs: 4.7058823529412g, Fiber: 2.3529411764706g",,Blend,convenience,,Pre-mixed blend,
produce_greens,Watercress,Generic,$4.99,ea,4oz,,Loose bunch in produce bag + plastic twist-tie,,,Earliest delivery Saturday Jan 24,specialty,,Only if recipe/user specifies,
produce_greens,Romaine,organicgirl,$4.99,ea,6oz,USDA Organic,Loose bunch in produce bag + plastic twist-tie,"Calories: 17.6/100g, Protein: 1.18g, Carbs: 3.53g, Fiber: 3.53g",No Preservatives,,staple,,Lettuce category - different from cooking greens,
produce_greens,Protein Greens,organicgirl,$4.99,ea,4.2oz,USDA Organic,Loose bunch in produce bag + plastic twist-tie,"Calories: 29.4/100g, Protein: 4.2g, Carbs: 4.2g, Fiber: 2.52g","Organic, No Preservatives, Usda Organic, Canada Organic",Blend,convenience,,Pre-mixed blend,
produce_greens,Organic Dandelion Greens,Generic,$2.99,ea,8oz,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,,,specialty,,Only if recipe/user specifies - bitter green,
produce_greens,Local Organic Young Spinach,Lancaster Farm Fresh Cooperative,$5.49,ea,5oz,USDA Organic + Local,Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",Save 27% - Any 2 for $8.00,staple,,,
produce_greens,Organic Green Swiss Chard,Generic,$3.49,ea,1lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,,,staple,balanced,Moderate cost organic variety - different flavor than kale,
produce_greens,Arugula,Generic,$1.99,ea,10oz,None (conventional),Loose bunch in produce bag + plastic twist-tie,,,Cheapest but conventional,staple,,,
produce_greens,Butter Baby!,organicgirl,$4.99,ea,4oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),,,Butter lettuce,staple,,Lettuce category,
produce_greens,Organic Spinach,Generic,$2.99,ea,6oz,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,"Naturally Gluten-Free, Vegan",~$8/lb - more expensive than kale per lb,staple,,,
produce_greens,Shredded Kale and Brussel Sprouts Blend,Generic,$5.99,ea,5oz,,Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",Save 16% - Any 2 for $10.00,convenience,,Pre-mixed blend,
produce_greens,Organic Mustard Greens,Generic,$2.99,ea,0.5lb,USDA Organic,Loose bunch in produce bag + plastic twist-tie,,,Mustard greens ,,,,
produce_greens,Baby Spring Mix,organicgirl,$4.99,ea,5oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),"Calories: 17.6/100g, Protein: 2.35g, Carbs: 3.53g, Fiber: 2.35g","Organic, No Preservatives, Usda Organic",Earliest delivery Sunday Jan 25,convenience,,Pre-mixed blend,
produce_greens,Baby Spinach,organicgirl,$4.99,ea,5oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),"Calories: 23.5294117647059/100g, Protein: 2.35294117647059g, Carbs: 3.52941176470588g, Fiber: 2.35294117647059g","Organic, No Preservatives, Usda Organic",,staple,,,
produce_greens,Local Organic Young Rainbow Chard,Lancaster Farm Fresh Cooperative,$5.49,ea,5oz,USDA Organic + Local,Clear plastic clamshell (recyclable #1 PET),,,Save 27% - Any 2 for $8.00,staple,,,
produce_greens,Sweet Crunchy Mix,organicgirl,$4.99,ea,4oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),"Calories: 17.6/100g, Protein: 1.18g, Carbs: 2.35g, Fiber: 2.35g","Organic, No Preservatives, Usda Organic",Blend,convenience,,Pre-mixed blend,
produce_greens,Local Organic Young Kale,Lancaster Farm Fresh Cooperative,$5.49,ea,5oz,USDA Organic + Local,Clear plastic clamshell (recyclable #1 PET),,"Naturally Gluten-Free, Vegan",Save 27% - Any 2 for $8.00 - EXCELLENT noted,staple,conscious,Local cooperative + organic + premium young kale,
produce_greens,Chopped Collard Greens,Generic,$5.49,ea,5oz,,Clear plastic clamshell (recyclable #1 PET),,,Save 27% - Any 2 for $8.00,convenience,,Pre-chopped,
produce_greens,Snow Pea Tips,Generic,$13.49,lb,,,Loose bunch in produce bag + plastic twist-tie,,,Premium specialty green,specialty,,Only if recipe/user specifies - Asian cuisine,
produce_greens,Baby Spinach & Arugula,organicgirl,$4.99,ea,5oz,USDA Organic,Clear plastic clamshell (recyclable #1 PET),,No Preservatives,Blend,convenience,,Pre-mixed blend,
produce_greens,Wild Arugula Pack 5oz,Satur Farms,Sold out,ea,5oz,,Clear plastic clamshell (recyclable #1 PET),,,SOLD OUT,staple,,IF AVAILABLE - peppery arugula variety option,
produce_greens,Baby Arugula,organicgirl,Sold out,ea,,USDA Organic,Clear plastic clamshell (recyclable #1 PET),"Calories: 27.7/100g, Protein: 2.77g, Carbs: 4.15g, Fat: 0.692g, Fiber: 1.38g","Organic, No Preservatives, Usda Organic",SOLD OUT,staple,,IF AVAILABLE - organic arugula option for variety,
produce_onions,Scallions,Generic,$1.99,ea,6oz,None (conventional),Bunched with twist-tie,,,,staple,,Green onions - common cooking ingredient,
produce_onions,Garlic,Generic,$3.49,ea,3ct 3.2oz,None (conventional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",,staple,,Essential aromatic,
produce_onions,Jumbo Yellow Onion,Generic,$0.99,lb,,None (conventional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Earliest delivery Sat Jan 24 - Clean Fifteen ,,,,
produce_onions,Yellow Onions (bag),Generic,$2.49,ea,6ct 2lb bag,None (conventional),Mesh bag,,"Naturally Gluten-Free, Vegan",Earliest delivery Sat Jan 24,staple,,Bulk option,
produce_onions,Red Onion Large,Generic,$1.99,lb,,None (conventional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",USER HISTORY: showed red onions,staple,,User preference noted,
produce_onions,Shallots,Generic,$4.99,ea,1lb bag,None (conventional),Mesh bag,,,,specialty,,Only if recipe specifies,
produce_onions,Organic Garlic,Generic,$3.99,ea,3ct 2.4oz,USDA Organic,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",,staple,,,
produce_onions,Local Organic Sweet Onion,Lancaster Farm Fresh Cooperative,$1.99,lb,,USDA Organic + Local,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Same price as conventional!,staple,,,
produce_onions,Peeled Garlic,Generic,$4.99,ea,8oz,,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Save 20% - Any 2 for $8.00,convenience,,Pre-peeled,
produce_onions,Local Organic Yellow Onion Medium,Lancaster Farm Fresh Cooperative,$1.99,lb,,USDA Organic + Local,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Same price as conventional!,staple,conscious,Local cooperative + organic at conventional price,
produce_onions,Red Onions (bag),Generic,$3.99,ea,6ct 2lb bag,None (conventional),Mesh bag,,"Naturally Gluten-Free, Vegan",,staple,,Bulk option,
produce_onions,Organic Diced Onion,Generic,$5.99,ea,10oz,USDA Organic,Plastic bag,,"Naturally Gluten-Free, Vegan",Save 16% - Any 2 for $10.00,convenience,,Pre-diced,
produce_onions,Sweet Onion,Generic,$1.49,lb,,None (conventional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Milder sweeter than yellow,staple,balanced,Moderate cost - sweeter flavor variety,
produce_onions,Local Organic Yellow Onions (bag),Lancaster Farm Fresh Cooperative,$4.49,ea,4ct 2lb bag,USDA Organic + Local,Mesh bag,,"Naturally Gluten-Free, Vegan",,staple,,Bulk option,
produce_onions,Organic Leeks Bunch,Generic,$5.99,ea,2-3ct 3lb,USDA Organic,Loose bulk in produce bag,,,Different allium variety,specialty,,Only if recipe specifies,
produce_onions,White Onion Large,Generic,$0.99,lb (min 2),,None (conventional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Same price as yellow,staple,,,
produce_onions,Local Organic Sweet Onions (bag),Lancaster Farm Fresh Cooperative,$5.49,ea,6ct 3lb bag,USDA Organic + Local,Mesh bag,,"Naturally Gluten-Free, Vegan",,staple,,Bulk option,
produce_onions,Organic Diced Red Onion,Generic,$5.99,ea,10oz,USDA Organic,Plastic bag,,"Naturally Gluten-Free, Vegan",Save 16% - Any 2 for $10.00,convenience,,Pre-diced,
produce_onions,Leeks Bunch,Generic,$5.99,ea,2-3ct 1lb,None (conventional),Loose bulk in produce bag,,,,specialty,,Only if recipe specifies,
produce_onions,Organic Shallots,Christopher Ranch,$3.99,ea,3ct 6oz,USDA Organic,Loose bulk in produce bag,,,,specialty,,Only if recipe specifies,
produce_onions,Local Organic Red Onions (bag),Lancaster Farm Fresh Cooperative,$4.99,ea,4ct 2lb bag,USDA Organic + Local,Mesh bag,,"Naturally Gluten-Free, Vegan",,staple,,Bulk option,
produce_onions,Fresh Peeled White Pearl Onions,Generic,$7.49,ea,8oz,,Plastic bag,,"Naturally Gluten-Free, Vegan",Save 20% - Any 2 for $12.00 - Earliest delivery Sun Jan 25,specialty,,Only if recipe specifies - garnish/stew,
produce_onions,Organic Peeled Garlic,Christopher Ranch,$4.99,ea,6oz,USDA Organic,Loose bulk in produce bag,"Calories: 5/100g, Carbs: 1g","Naturally Gluten-Free, Vegan",,convenience,,Pre-peeled,
produce_onions,Peeled Garlic,Christopher Ranch,$6.99,ea,1lb,,Loose bulk in produce bag,"Calories: 5/100g, Carbs: 1g","Naturally Gluten-Free, Vegan",Branded conventional,convenience,,Pre-peeled bulk,
produce_onions,Cipollini Onions,Black Dirt Region,$2.99,ea,1lb bag,,Mesh bag,,"Naturally Gluten-Free, Vegan",Regional specialty - gourmet,specialty,,Only if recipe specifies - Italian,
produce_onions,Organic Black Garlic,Pete's Greens,$9.99,ea,3oz,USDA Organic,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",EXCELLENT noted - fermented probiotic,specialty_promotable,,Promote if: user history OR recipe OR health-conscious user (fermented + organic),
produce_onions,Garlic Braid,Christopher Ranch,$15.99,ea,20oz,,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Decorative/bulk,specialty,,Decorative or bulk storage,
produce_onions,Local Organic Red Onions Medium,Lancaster Farm Fresh Cooperative,Sold out,lb,,USDA Organic + Local,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",SOLD OUT,staple,,IF AVAILABLE - would be conscious tier (local + organic + user history red onion preference),
produce_onions,Local Organic Shallots,Lancaster Farm Fresh Cooperative,Sold out,ea,,USDA Organic + Local,Loose bulk in produce bag,,,SOLD OUT,specialty,,IF AVAILABLE - premium local organic shallot option,
produce_roots,Organic Ginger Root,Generic,$2.99,ea,6oz,USDA Organic,Loose bulk in produce bag,,,Aromatic root - not main veggie,specialty,year-round (imported),,Only if recipe/user specifies
produce_roots,Parsnips,Generic,$2.99,lb (min 2),,None (conventional),Loose bulk in produce bag,,,Earliest delivery Sat Jan 24,specialty,fall-winter (Oct-Mar) - PEAK NOW,,Promote in season - sweeter after frost
produce_roots,Radishes,Jersey Fresh,$1.99,ea,bunch,Jersey Fresh (regional),Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Regional NJ program,staple,spring-fall (Mar-Nov),balanced,Brand traceability + regional - recall safe vs generic
produce_roots,Organic Cooked Beets,Love Beets,$4.99,ea,8.8oz,USDA Organic,Loose bulk in produce bag,"Calories: 47.4/100g, Protein: 1.05g, Carbs: 10.5g, Fiber: 2.11g","Organic, No Gmos, Non Gmo Project",Save 20% - Any 2 for $8.00,convenience,year-round (processed),,Precooked convenience product
produce_roots,Loose Organic Beets,Generic,$2.99,lb,,USDA Organic,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",,staple,fall-winter storage (Oct-Mar) - PEAK NOW,,
produce_roots,Organic Red Radish,Generic,$2.99,ea,1lb,USDA Organic,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Save 16% - buy 2 for $5 - EXCELLENT noted,staple,spring-fall (Mar-Nov),,
produce_roots,Organic Watermelon Radishes,Lancaster Farm Fresh Cooperative,$2.49,ea,0.5lb,USDA Organic + Local,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",EXCELLENT noted - high criteria score,specialty_promotable,fall-winter (Oct-Feb) - PEAK NOW,,Promote NOW: in season + user history OR recipe OR variety (organic + local + heirloom)
produce_roots,Turmeric Root,Generic,$2.99,ea,2oz,,Loose bulk in produce bag,,,Aromatic/medicinal root,specialty,year-round (imported),,Only if recipe/user specifies
produce_roots,Turnip,Generic,$1.49,lb,,None (conventional),Loose bulk in produce bag,,,Cheapest root - middle category,staple,fall-winter storage (Oct-Mar) - PEAK NOW,,
produce_roots,Cooked Beets,Love Beets,$3.49,ea,8.8oz,,Loose bulk in produce bag,"Calories: 41.2/100g, Protein: 1.5g, Carbs: 7.12g, Fat: 0.125g, Fiber: 2.87g","Naturally Gluten-Free, Vegan",Precooked,convenience,year-round (processed),,Precooked convenience product
produce_roots,Organic Beets Bunch,Generic,$3.99,ea,4ct 1lb,USDA Organic,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",,staple,fall-winter storage (Oct-Mar) - PEAK NOW,,
produce_roots,Diced Red Beets,Generic,$5.49,ea,12oz,,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Save 27% - Any 2 for $8.00,convenience,year-round (processed),,Pre-diced convenience product
produce_roots,Organic Daikon Bunch,Generic,$2.99,lb,,USDA Organic,Loose bulk in produce bag,,,Asian radish variety - high criteria score,specialty_promotable,fall-winter (Oct-Mar) - PEAK NOW,,Promote NOW: in season + user history 3x+ OR recipe OR variety (organic + good price)
produce_roots,Perfectly Pickled Beets Slightly Sweet,Love Beets,$4.99,ea,6.5oz,,Loose bulk in produce bag,,"Naturally Gluten-Free, Vegan",Save 20% - Any 2 for $8.00,convenience,year-round (processed),,Processed/pickled product
produce_roots,Organic Marinated Baby Beets Classic Vinegar,Love Beets,$4.99,ea,8oz,USDA Organic,Plastic bag,,"Naturally Gluten-Free, Vegan",Save 20% - Any 2 for $8.00,convenience,year-round (processed),,Processed/marinated product
produce_roots,Celery Root,Generic,$3.99,lb,,None (conventional),Loose bulk in produce bag,,,Celeriac,specialty,fall-winter (Oct-Mar) - PEAK NOW,,Promote in season if recipe/user specifies
produce_roots,Local Organic Jerusalem Artichokes,Lancaster Farm Fresh Cooperative,$5.99,lb,,USDA Organic + Local,Loose bulk in produce bag,,,Sunchokes,specialty,fall-winter (Nov-Mar) - PEAK NOW,,Promote in season if recipe/user specifies - specialty tuber
