product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0001,freshdirect,FreshDirect,protein_poultry,chicken,FreshDirect,"Chicken, FreshDirect",24.45,3.0,lb,0.5094,oz,False,bulk,
prod0002,freshdirect,FreshDirect,protein_poultry,chicken,Tyson,"Organic Chicken, Tyson",20.4,1.5,lb,0.85,oz,True,bulk,USDA Organic
prod0003,freshdirect,FreshDirect,protein_poultry,chicken,Bell & Evans,"Organic Chicken, Bell & Evans",11.04,1.0,lb,0.69,oz,True,bulk,USDA Organic
prod0004,freshdirect,FreshDirect,protein_poultry,chicken,Farmer Focus,"Organic Chicken, Farmer Focus",15.95,1.5,lb,0.6646,oz,True,bulk,"USDA Organic, Free Range"
prod0005,freshdirect,FreshDirect,produce,onions,FreshDirect,"Onions, FreshDirect",2.98,2.0,lb,0.0931,oz,False,bulk,
prod0006,freshdirect,FreshDirect,produce,onions,Melissa's,"Organic Onions, Melissa's",2.33,1.0,lb,0.1456,oz,True,bulk,USDA Organic
prod0007,freshdirect,FreshDirect,produce,onions,Fresh Farms,"Onions, Fresh Farms",1.79,1.0,lb,0.1119,oz,False,bulk,
prod0008,freshdirect,FreshDirect,produce,onions,Organic Valley,"Organic Onions, Organic Valley",7.24,2.0,lb,0.2263,oz,True,bulk,USDA Organic
prod0009,freshdirect,FreshDirect,produce,tomatoes,FreshDirect,"Tomatoes, FreshDirect",2.24,1.0,lb,0.14,oz,False,bulk,
prod0010,freshdirect,FreshDirect,produce,tomatoes,NatureSweet,"Organic Tomatoes, NatureSweet",7.0,2.0,lb,0.2188,oz,True,bulk,USDA Organic
prod0011,freshdirect,FreshDirect,produce,tomatoes,Campari,"Organic Tomatoes, Campari",3.5,16.0,oz,0.2188,oz,True,bulk,USDA Organic
prod0012,freshdirect,FreshDirect,produce,tomatoes,Heirloom Organic,"Organic Tomatoes, Heirloom Organic",5.44,16.0,oz,0.34,oz,True,bulk,USDA Organic
prod0013,freshdirect,FreshDirect,dairy,yogurt,FreshDirect,"Yogurt, FreshDirect",8.98,32.0,oz,0.2806,oz,False,plastic,
prod0014,freshdirect,FreshDirect,dairy,yogurt,Chobani,"Yogurt, Chobani",2.02,6.0,oz,0.3367,oz,False,plastic,
prod0015,freshdirect,FreshDirect,dairy,yogurt,Fage,"Yogurt, Fage",10.78,32.0,oz,0.3369,oz,False,plastic,
prod0016,freshdirect,FreshDirect,dairy,yogurt,Maple Hill,"Organic Yogurt, Maple Hill",3.61,5.3,oz,0.6811,oz,True,plastic,USDA Organic
prod0017,freshdirect,FreshDirect,produce,ginger,FreshDirect,"Ginger, FreshDirect",1.5,8.0,oz,0.1875,oz,False,bulk,
prod0018,freshdirect,FreshDirect,produce,ginger,Melissa's,"Organic Ginger, Melissa's",4.67,1.0,lb,0.2919,oz,True,bulk,USDA Organic
prod0019,freshdirect,FreshDirect,produce,ginger,Organic Ginger Root,"Organic Ginger, Organic Ginger Root",3.63,8.0,oz,0.4537,oz,True,bulk,USDA Organic
prod0020,freshdirect,FreshDirect,produce,garlic,FreshDirect,"Garlic, FreshDirect",3.74,5.0,ct,0.748,ea,False,bulk,
prod0021,freshdirect,FreshDirect,produce,garlic,Christopher Ranch,"Garlic, Christopher Ranch",4.49,5.0,ct,0.898,ea,False,bulk,
prod0022,freshdirect,FreshDirect,produce,garlic,Organic Hardneck Garlic,"Organic Garlic, Organic Hardneck Garlic",9.08,3.0,ct,3.0267,ea,True,bulk,USDA Organic
prod0023,freshdirect,FreshDirect,herbs,mint,FreshDirect,"Mint, FreshDirect",1.59,1.0,bunch,1.59,ea,False,bulk,
