product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0214,kaiser,Kaiser Grocery,protein_poultry,chicken,Kaiser Select,"Chicken, Kaiser Select",7.18,1.0,lb,0.4487,oz,False,bulk,
prod0215,kaiser,Kaiser Grocery,protein_poultry,chicken,Tyson,"Organic Chicken, Tyson",23.9,2.0,lb,0.7469,oz,True,bulk,USDA Organic
prod0216,kaiser,Kaiser Grocery,protein_poultry,chicken,Bell & Evans,"Organic Chicken, Bell & Evans",25.73,2.0,lb,0.8041,oz,True,bulk,USDA Organic
prod0217,kaiser,Kaiser Grocery,protein_poultry,chicken,Farmer Focus,"Organic Chicken, Farmer Focus",11.79,1.0,lb,0.7369,oz,True,bulk,"USDA Organic, Free Range"
prod0218,kaiser,Kaiser Grocery,produce,onions,Kaiser Select,"Onions, Kaiser Select",7.46,5.0,lb,0.0932,oz,False,bulk,
prod0219,kaiser,Kaiser Grocery,produce,onions,Fresh Farms,"Organic Onions, Fresh Farms",4.66,2.0,lb,0.1456,oz,True,bulk,USDA Organic
prod0220,kaiser,Kaiser Grocery,produce,onions,Melissa's,"Onions, Melissa's",3.58,2.0,lb,0.1119,oz,False,bulk,
prod0221,kaiser,Kaiser Grocery,produce,onions,Organic Valley,"Organic Onions, Organic Valley",18.11,5.0,lb,0.2264,oz,True,bulk,USDA Organic
prod0222,kaiser,Kaiser Grocery,produce,tomatoes,Kaiser Select,"Tomatoes, Kaiser Select",2.24,1.0,lb,0.14,oz,False,bulk,
prod0223,kaiser,Kaiser Grocery,produce,tomatoes,Campari,"Organic Tomatoes, Campari",3.5,1.0,lb,0.2188,oz,True,bulk,USDA Organic
prod0224,kaiser,Kaiser Grocery,produce,tomatoes,NatureSweet,"Organic Tomatoes, NatureSweet",7.0,2.0,lb,0.2188,oz,True,bulk,USDA Organic
prod0225,kaiser,Kaiser Grocery,produce,tomatoes,Heirloom Organic,"Organic Tomatoes, Heirloom Organic",5.44,16.0,oz,0.34,oz,True,bulk,USDA Organic
prod0226,kaiser,Kaiser Grocery,dairy,yogurt,Kaiser Select,"Yogurt, Kaiser Select",1.49,5.3,oz,0.2811,oz,False,plastic,
prod0227,kaiser,Kaiser Grocery,dairy,yogurt,Dannon,"Yogurt, Dannon",2.02,6.0,oz,0.3367,oz,False,plastic,
prod0228,kaiser,Kaiser Grocery,dairy,yogurt,Fage,"Organic Yogurt, Fage",2.63,6.0,oz,0.4383,oz,True,plastic,USDA Organic
prod0229,kaiser,Kaiser Grocery,dairy,yogurt,Maple Hill,"Organic Yogurt, Maple Hill",21.8,32.0,oz,0.6813,oz,True,plastic,USDA Organic
prod0230,kaiser,Kaiser Grocery,produce,ginger,Kaiser Select,"Ginger, Kaiser Select",2.99,1.0,lb,0.1869,oz,False,bulk,
prod0231,kaiser,Kaiser Grocery,produce,ginger,Melissa's,"Ginger, Melissa's",1.8,8.0,oz,0.225,oz,False,bulk,
prod0232,kaiser,Kaiser Grocery,produce,ginger,Organic Ginger Root,"Organic Ginger, Organic Ginger Root",3.63,8.0,oz,0.4537,oz,True,bulk,USDA Organic
prod0233,kaiser,Kaiser Grocery,produce,garlic,Kaiser Select,"Garlic, Kaiser Select",3.74,3.0,ct,1.2467,ea,False,bulk,
