product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0154,pure_indian_foods,Pure Indian Foods,rice,basmati rice,Pure Indian Foods,"Basmati Rice, Pure Indian Foods",12.45,5.0,lb,0.1556,oz,False,bulk,
prod0155,pure_indian_foods,Pure Indian Foods,rice,basmati rice,Lundberg,"Organic Basmati Rice, Lundberg",23.42,5.0,lb,0.2928,oz,True,bulk,USDA Organic
prod0156,pure_indian_foods,Pure Indian Foods,rice,basmati rice,Royal,"Basmati Rice, Royal",26.55,10.0,lb,0.1659,oz,False,bulk,
prod0157,pure_indian_foods,Pure Indian Foods,rice,basmati rice,Tilda,"Organic Basmati Rice, Tilda",40.23,5.0,lb,0.5029,oz,True,bulk,USDA Organic
prod0158,pure_indian_foods,Pure Indian Foods,rice,basmati rice,Laxmi,"Basmati Rice, Laxmi",10.25,4.0,lb,0.1602,oz,False,bulk,
prod0159,pure_indian_foods,Pure Indian Foods,rice,basmati rice,India Gate,"Organic Basmati Rice, India Gate",14.6,2.0,lb,0.4562,oz,True,bulk,USDA Organic
prod0160,pure_indian_foods,Pure Indian Foods,oil,ghee,Organic Valley,"Ghee, Organic Valley",10.01,8.0,oz,1.2512,oz,False,glass,
prod0161,pure_indian_foods,Pure Indian Foods,oil,ghee,Fourth & Heart,"Organic Ghee, Fourth & Heart",13.41,8.0,oz,1.6763,oz,True,glass,USDA Organic
prod0162,pure_indian_foods,Pure Indian Foods,oil,ghee,Ancient Organics,"Organic Ghee, Ancient Organics",19.93,8.0,oz,2.4912,oz,True,glass,USDA Organic
prod0163,pure_indian_foods,Pure Indian Foods,oil,ghee,Deep,"Ghee, Deep",15.7,16.0,oz,0.9812,oz,False,glass,
prod0164,pure_indian_foods,Pure Indian Foods,oil,ghee,Laxmi,"Ghee, Laxmi",18.81,16.0,oz,1.1756,oz,False,glass,
prod0165,pure_indian_foods,Pure Indian Foods,oil,ghee,Swad,"Ghee, Swad",19.78,32.0,oz,0.6181,oz,False,glass,
prod0166,pure_indian_foods,Pure Indian Foods,oil,ghee,Pure Indian Foods,"Ghee, Pure Indian Foods",10.73,16.0,oz,0.6706,oz,False,glass,
prod0167,pure_indian_foods,Pure Indian Foods,spices,garam masala,McCormick,"Garam Masala, McCormick",13.25,8.0,oz,1.6562,oz,False,glass,
prod0168,pure_indian_foods,Pure Indian Foods,spices,garam masala,Simply Organic,"Garam Masala, Simply Organic",6.67,2.0,oz,3.335,oz,False,plastic,
prod0169,pure_indian_foods,Pure Indian Foods,spices,garam masala,Diaspora Co,"Organic Garam Masala, Diaspora Co",15.0,8.0,oz,1.875,oz,True,glass,USDA Organic
prod0170,pure_indian_foods,Pure Indian Foods,spices,garam masala,Laxmi,"Garam Masala, Laxmi",14.05,8.0,oz,1.7563,oz,False,glass,
