product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0101,shoprite,ShopRite,protein_poultry,chicken,Bowl & Basket,"Chicken, Bowl & Basket",6.4,1.5,lb,0.2667,oz,False,bulk,
prod0102,shoprite,ShopRite,protein_poultry,chicken,Tyson,"Chicken, Tyson",6.06,1.0,lb,0.3787,oz,False,bulk,
prod0103,shoprite,ShopRite,protein_poultry,chicken,Bell & Evans,"Chicken, Bell & Evans",14.24,1.5,lb,0.5933,oz,False,bulk,
prod0104,shoprite,ShopRite,protein_poultry,chicken,Farmer Focus,"Organic Chicken, Farmer Focus",14.57,1.5,lb,0.6071,oz,True,bulk,"USDA Organic, Free Range"
prod0105,shoprite,ShopRite,produce,onions,Bowl & Basket,"Onions, Bowl & Basket",1.49,1.0,lb,0.0931,oz,False,bulk,
prod0106,shoprite,ShopRite,produce,onions,Melissa's,"Onions, Melissa's",3.58,2.0,lb,0.1119,oz,False,bulk,
prod0107,shoprite,ShopRite,produce,onions,Fresh Farms,"Onions, Fresh Farms",5.37,3.0,lb,0.1119,oz,False,bulk,
prod0108,shoprite,ShopRite,produce,onions,Organic Valley,"Organic Onions, Organic Valley",7.24,2.0,lb,0.2263,oz,True,bulk,USDA Organic
prod0109,shoprite,ShopRite,produce,tomatoes,Bowl & Basket,"Tomatoes, Bowl & Basket",4.49,2.0,lb,0.1403,oz,False,bulk,
prod0110,shoprite,ShopRite,produce,tomatoes,NatureSweet,"Organic Tomatoes, NatureSweet",7.0,2.0,lb,0.2188,oz,True,bulk,USDA Organic
prod0111,shoprite,ShopRite,produce,tomatoes,Campari,"Tomatoes, Campari",2.69,1.0,lb,0.1681,oz,False,bulk,
prod0112,shoprite,ShopRite,produce,tomatoes,Heirloom Organic,"Organic Tomatoes, Heirloom Organic",5.44,1.0,lb,0.34,oz,True,bulk,USDA Organic
prod0113,shoprite,ShopRite,dairy,yogurt,Bowl & Basket,"Yogurt, Bowl & Basket",1.68,6.0,oz,0.28,oz,False,plastic,
prod0114,shoprite,ShopRite,dairy,yogurt,Dannon,"Yogurt, Dannon",1.79,5.3,oz,0.3377,oz,False,plastic,
prod0115,shoprite,ShopRite,dairy,yogurt,Fage,"Organic Yogurt, Fage",2.32,5.3,oz,0.4377,oz,True,plastic,USDA Organic
