product_id,source_store_id,store_name,title,brand,price,size_value,size_unit,unit_price,unit_price_unit,organic,category,ingredient_key,ingredient_form,is_synthetic,packaging,nutrition,labels
prod_pure_indian_foods_0001,pure_indian_foods,Pure Indian Foods,Dried Edible Rose Petals,Pure Indian Foods,5.99,1.0,oz,5.99,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0002,pure_indian_foods,Pure Indian Foods,Royal Garnish Blend,Pure Indian Foods,7.99,35.0,g,6.4718,oz,True,pantry,unknown,unknown,False,Opaque white plastic bag,,
prod_pure_indian_foods_0003,pure_indian_foods,Pure Indian Foods,Organic Red Chili Pepper Flakes,Pure Indian Foods,4.99,2.0,oz,2.495,oz,True,pantry,unknown,flakes,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0004,pure_indian_foods,Pure Indian Foods,Ayurvedic Six Tastes Churna,Pure Indian Foods,7.99,2.2,oz,3.6318,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0005,pure_indian_foods,Pure Indian Foods,Green Chili Powder (Serrano),Pure Indian Foods,4.99,1.9,oz,2.6263,oz,True,pantry,unknown,powder,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0006,pure_indian_foods,Pure Indian Foods,Ghost Pepper (Smoked Bhut Jolokia) Whole Peppers,Pure Indian Foods,8.99,1.4,oz,6.4214,oz,False,pantry,unknown,whole,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0007,pure_indian_foods,Pure Indian Foods,Biryani Masala Seasoning,Pure Indian Foods,6.99,2.2,oz,3.1773,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0008,pure_indian_foods,Pure Indian Foods,Vata Churna,Pure Indian Foods,7.99,2.2,oz,3.6318,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0009,pure_indian_foods,Pure Indian Foods,Pitta Churna,Pure Indian Foods,7.99,2.2,oz,3.6318,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0010,pure_indian_foods,Pure Indian Foods,Kapha Churna,Pure Indian Foods,7.99,2.2,oz,3.6318,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0011,pure_indian_foods,Pure Indian Foods,Lemongrass Cut & Dried,Pure Indian Foods,6.99,1.5,oz,4.66,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0012,pure_indian_foods,Pure Indian Foods,AfterMeal Roasted Coriander Seeds (Dhana Dal),Pure Indian Foods,3.99,3.0,oz,1.33,oz,False,spices,coriander,seeds,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0013,pure_indian_foods,Pure Indian Foods,Kokum Black Dried,Pure Indian Foods,9.99,5.0,oz,1.998,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0014,pure_indian_foods,Pure Indian Foods,Fill Up Your Spice Box Indian Spice Set,Pure Indian Foods,45.0,12.0,mini,3.75,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0015,pure_indian_foods,Pure Indian Foods,Galangal Dried Slices,Pure Indian Foods,12.99,3.0,oz,4.33,oz,True,pantry,unknown,unknown,False,Glass jar with plastic cap,,
prod_pure_indian_foods_0016,pure_indian_foods,Pure Indian Foods,Poppy Seeds,Pure Indian Foods,12.99,8.0,oz,1.6238,oz,True,pantry,unknown,seeds,False,Glass jar with plastic cap,,
