item_id,name,brand,size,packaging_type
134,"Adirondack Creamery Ice Cream, Kulfi Pistachio Cardamom",Adirondack Creamery,14 floz Paperboard pint tub with plastic lid,paperboard tub
107,"Alexandre A2/A2 Organic 4% Whole Milk, Carton",Alexandre,"59fl oz, Carton",carton
184,Altobelli Family Farm Local Delicata Squash,Altobelli Family Farm, 1.12 lb,
109,"Baby Bananas, Bunch",Store Brand,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
202,Banana Bunch,Store Brand,Bunch,bunch
185,Black Dirt Region Red Cippolini Onions,Store Brand,"0.99 lb, plastic produce bag",plastic produce bag
136,Bob's Red Mill Organic Quinoa,Bob's Red Mill,"13oz, plastic bag (stand-up resealable)","plastic bag, resealable bag"
165,Bragg Organic Raw Unfiltered Apple Cider Vinegar,Bragg,"16fl oz, glass bottle with metal cap","glass bottle, metal lid/cap"
168,Bread Alone Organic San Francisco Sourdough,Bread Alone,"22oz, plastic bag with clip",plastic bag
97,Bread Alone Organic Whole Wheat Sourdough (Yeast Free),Bread Alone,"22oz, plastic bag with clip",plastic bag
190,Breadfruit,Store Brand,approx. 2lb,
158,"Bubbies Mochi Ice Cream, Pistachio",Bubbies,"1.25oz, paperboard box + inner plastic trays/wrappers",paperboard box
179,Burlap & Barrel New Harvest Turmeric,Burlap & Barrel,"1.9oz, glass jar with metal lid","glass jar, metal lid/cap"
99,Burlap & Barrel Wild Mountain Cumin,Burlap & Barrel,"1.6oz, glass jar with metal lid","glass jar, metal lid/cap"
142,Cal-Organic Organic Rainbow Carrots,Cal-Organic,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
197,Cal-Organic Organic Red Carrots,Cal-Organic,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
166,Celestial Seasonings Chamomile Herbal Tea,Celestial Seasonings,"0.9oz, paperboard box with individual paper tea bags (string + tag; no plastic wrap but mostly a polymer dispersion coating on box and tags)",paperboard box
143,Chayote Squash,Store Brand,NaN,
161,Chinese Eggplant,Store Brand,1.58 lb,
100,Chinese Long Beans,Store Brand,approx. 1lb,
162,De Nigris Organic White Wine Vinegar,De Nigris,glass bottle with metal cap,"glass bottle, metal lid/cap"
113,Deer Run Farms Local Bunched Spinach,Deer Run Farms,Bunch bound with plastic twist tie,"bunch, plastic twist tie"
