#	Product Name	Brand	Price	Sale Price	Availability
1	"All Natural Chicken Meatballs, Zesty Italian Style with Mozzarella Cheese"	Aidells	$8.49/ea		In Stock
2	"All Natural Smoked Chicken Sausage, Chicken & Apple"	Aidells	$8.49/ea		In Stock
3	"All-Natural Smoked Chicken Sausage, Roasted Garlic & Gruyere Cheese"	Aidells	$8.49/ea		In Stock
4	"Soup, No Chicken Noodle"	Amy's	$5.49	$4.69/ea	In Stock
5	Natural Chicken Broth	Aneto	$9.49/ea		In Stock
6	Organic Boneless Skinless Chicken Breast	Farmer Focus	$9.19/lb		In Stock
7	Organic Boneless Skinless Chicken Breasts Value Pack	Farmer Focus	$8.99/lb		In Stock
8	Organic Boneless Skinless Chicken Thighs	Farmer Focus	$8.29/lb		In Stock
9	Organic Whole Chicken	Farmer Focus	$4.99/lb		In Stock
10	Barbecue Rotisserie Chicken	FreshDirect	$8.99/ea		In Stock
11	"Breaded Chicken Cutlet, Uncooked"	FreshDirect	$11.49/lb		In Stock
12	Buffalo Chicken Fingers	FreshDirect	$11.49/ea		In Stock
13	Chicken Caesar Salad	FreshDirect	$9.49/ea		In Stock
14	Rotisserie Chicken	FreshDirect	$8.99/ea		In Stock
15	Cracked Black Pepper Chicken Breast	Just FreshDirect	$8.99/lb		In Stock
16	Herb and Garlic Chicken Breast	Just FreshDirect	$8.99/lb		In Stock
17	"Boneless Skinless Chicken Breasts, Air-Chilled, Raised w/o Antibiotics"	Katie's Best	$7.99/lb		In Stock
18	"Boneless Skinless Chicken Thighs, Air-Chilled, Raised w/o Antibiotics"	Katie's Best	$6.99/lb		In Stock
19	"Whole Chicken, Air-Chilled, Raised w/o Antibiotics"	Katie's Best	$4.49/lb		In Stock
20	"Boneless Skinless Chicken Breasts, Raised w/o Antibiotics"	Springer Mountain Farms	$6.49/lb		In Stock
