#	Product Name	Brand	Price	Availability
1	Basmati Rice (10 LB)	24 Mantra	$32.99	In Stock
2	Basmati Rice - 2 LB	24 Mantra	$8.99	Sold Out
3	Brown Basmati Rice - 2 Lb	24 Mantra	$8.99	In Stock
4	Chana Dal (2 LB)	24 Mantra	$7.99	In Stock
5	Cumin Seeds - 7 Oz	24 Mantra	$6.99	In Stock
6	Coriander Seeds (7 OZ)	24 Mantra	$4.99	In Stock
7	Turmeric Powder - 7 Oz	24 Mantra	$4.49	In Stock
8	Ghee - 14 Oz	24 Mantra	$27.99	In Stock
9	Whole Wheat Atta - 10 Lb	24 Mantra	$18.99	Sold Out
10	Toor Dal - 2 Lb	24 Mantra	$9.99	In Stock
11	"21 Whole Grains and Seeds Bread Loaf, 27 oz"	Dave's Killer Bread	$7.99	In Stock
12	2% Reduced Fat DHA Omega-3 Milk (Half Gallon)	Horizon	$7.99	In Stock
13	Organic Soy Extra Firm Tofu 12 oz	House Foods	$5.49	In Stock
14	Moong Dal (Yellow) - 2 LB	Swad	$8.99	In Stock
15	Paneer - 10 Oz	Swad	$8.99	In Stock
16	Rajma Red (Dark Kidney Beans) - 2 LB	Swad	$8.99	In Stock
